序号,question_model_qp_cp_bs,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,question_0_aime_Qwen3-0.6B_QP20_CP1_BS1,20,1,1,1,1,0.0,0.21069675202458849,132,132,406331313398784.0,1556599384576.0
2,question_0_aime_Qwen3-0.6B_QP20_CP1_BS1,20,1,1,1,1,0.0,0.2024069129804873,139,2084,477615360652288.0,1783548754944.0
3,question_0_aime_Qwen3-0.6B_QP20_CP1_BS1,20,1,1,1,1,0.0,0.08270951541783102,565,3701,724039368052736.0,2400465789952.0
4,question_0_aime_Qwen3-0.6B_QP19_CP1_BS1,19,1,1,1,1,0.0,0.21069675202458849,132,132,342935430759424.0,1218879160832.0
5,question_0_aime_Qwen3-0.6B_QP19_CP1_BS1,19,1,1,1,1,0.0,0.10721515297579029,346,3091,624829735642112.0,2258928992768.0
6,question_0_aime_Qwen3-0.6B_QP19_CP1_BS1,19,1,1,1,1,0.0,0.21069675202458849,132,132,221629766452736.0,873032824320.0
7,question_0_aime_Qwen3-0.6B_QP18_CP1_BS1,18,1,1,1,1,0.0,0.2024069129804873,139,1127,428538331657728.0,1612192898048.0
8,question_0_aime_Qwen3-0.6B_QP18_CP1_BS1,18,1,1,1,1,0.0,0.21069675202458849,132,132,191139370397696.0,720468798976.0
9,question_0_aime_Qwen3-0.6B_QP18_CP1_BS1,18,1,1,1,1,0.0,0.10721515297579029,346,2732,632390054144000.0,2289409055232.0
10,question_0_aime_Qwen3-0.6B_QP17_CP1_BS1,17,1,1,1,1,0.0,0.0,0,0,226631237012480.0,945751512576.0
11,question_0_aime_Qwen3-0.6B_QP17_CP1_BS1,17,1,1,1,1,0.0,0.2024069129804873,139,2020,437282766588928.0,1689034468352.0
12,question_0_aime_Qwen3-0.6B_QP17_CP1_BS1,17,1,1,1,1,0.0,0.10721515297579029,346,2361,625196656833536.0,2286266583552.0
13,question_0_aime_Qwen3-0.6B_QP16_CP1_BS1,16,1,1,1,1,0.0,0.2024069129804873,139,1797,371139483900416.0,1376820237312.0
14,question_0_aime_Qwen3-0.6B_QP16_CP1_BS1,16,1,1,1,1,0.0,0.06600534611036042,394,1930,601497242768384.0,2234156542464.0
15,question_0_aime_Qwen3-0.6B_QP16_CP1_BS1,16,1,1,1,1,0.0,0.07847425007185262,398,2054,605295021237760.0,2299509537280.0
16,question_0_aime_Qwen3-0.6B_QP15_CP1_BS1,15,1,1,1,1,0.0,0.34226109194120535,541,1641,593635604993536.0,2264873079296.0
17,question_0_aime_Qwen3-0.6B_QP15_CP1_BS1,15,1,1,1,1,0.0,0.2024069129804873,139,575,386278675758592.0,1503916057600.0
18,question_0_aime_Qwen3-0.6B_QP15_CP1_BS1,15,1,1,1,1,0.0,0.21069675202458849,132,132,168839525526016.0,659370288640.0
19,question_0_aime_Qwen3-0.6B_QP14_CP1_BS1,14,1,1,1,1,0.0,0.0,0,0,195238535153664.0,857611961856.0
20,question_0_aime_Qwen3-0.6B_QP14_CP1_BS1,14,1,1,1,1,0.0,0.21069675202458849,132,132,340185144562688.0,1442061369856.0
21,question_0_aime_Qwen3-0.6B_QP14_CP1_BS1,14,1,1,1,1,0.0,0.34226109194120535,541,2507,565557390535680.0,2256445755904.0
22,question_0_aime_Qwen3-0.6B_QP13_CP1_BS1,13,1,1,1,1,0.0,0.0,0,0,170345578974720.0,712378091008.0
23,question_0_aime_Qwen3-0.6B_QP13_CP1_BS1,13,1,1,1,1,0.0,0.0,0,0,193673206582784.0,859115470336.0
24,question_0_aime_Qwen3-0.6B_QP13_CP1_BS1,13,1,1,1,1,0.0,0.0,0,0,155514439699968.0,632391384576.0
25,question_0_aime_Qwen3-0.6B_QP12_CP1_BS1,12,1,1,1,1,0.0,0.13445967397498892,444,2730,469955278613504.0,1751790873600.0
26,question_0_aime_Qwen3-0.6B_QP12_CP1_BS1,12,1,1,1,1,0.0,0.0,0,0,152834048892928.0,638476707328.0
27,question_0_aime_Qwen3-0.6B_QP12_CP1_BS1,12,1,1,1,1,0.0,0.21069675202458849,132,271,267768745497088.0,1125812740608.0
28,question_0_aime_Qwen3-0.6B_QP11_CP1_BS1,11,1,1,1,1,0.0,0.19048134020356466,345,867,423721567325184.0,1774305710080.0
29,question_0_aime_Qwen3-0.6B_QP11_CP1_BS1,11,1,1,1,1,0.0,0.0,0,0,153490482461184.0,666136337920.0
30,question_0_aime_Qwen3-0.6B_QP11_CP1_BS1,11,1,1,1,1,0.0,0.06483115733248658,594,2584,484036236709888.0,2093753098752.0
31,question_0_aime_Qwen3-0.6B_QP10_CP1_BS1,10,1,1,1,1,0.0,0.077589053669844,470,2318,486836495406592.0,2020983469056.0
32,question_0_aime_Qwen3-0.6B_QP10_CP1_BS1,10,1,1,1,1,0.0,0.13445967397498892,444,1236,394382681924096.0,1474551778304.0
33,question_0_aime_Qwen3-0.6B_QP10_CP1_BS1,10,1,1,1,1,0.0,0.21069675202458849,132,132,158353963571712.0,727671836160.0
34,question_0_aime_Qwen3-0.6B_QP9_CP1_BS1,9,1,1,1,1,0.0,0.05315657830035492,436,436,373396495277568.0,1522825910784.0
35,question_0_aime_Qwen3-0.6B_QP9_CP1_BS1,9,1,1,1,1,0.0,0.07847425007185262,398,1852,424140921665536.0,1729392606208.0
36,question_0_aime_Qwen3-0.6B_QP9_CP1_BS1,9,1,1,1,1,0.0,0.19048134020356466,345,1101,314701243514368.0,1291633852416.0
37,question_0_aime_Qwen3-0.6B_QP8_CP1_BS1,8,1,1,1,1,0.0,0.13445967397498892,444,1086,451769899403264.0,2110071876096.0
38,question_0_aime_Qwen3-0.6B_QP8_CP1_BS1,8,1,1,1,1,0.0,0.34226109194120535,541,1706,433805690614784.0,1729596069888.0
39,question_0_aime_Qwen3-0.6B_QP8_CP1_BS1,8,1,1,1,1,0.0,0.07029594964456368,452,1435,368300491017728.0,1573639127552.0
40,question_0_aime_Qwen3-0.6B_QP7_CP1_BS1,7,1,1,1,1,0.0,0.06600534611036042,394,810,393983135014400.0,1749550857216.0
41,question_0_aime_Qwen3-0.6B_QP7_CP1_BS1,7,1,1,1,1,0.0,0.21069675202458849,132,132,200652235306496.0,935573813760.0
42,question_0_aime_Qwen3-0.6B_QP7_CP1_BS1,7,1,1,1,1,0.0,0.08270951541783102,565,1539,366058963353600.0,1665297988096.0
43,question_0_aime_Qwen3-0.6B_QP6_CP1_BS1,6,1,1,1,1,0.0,0.21069675202458849,132,132,184767263176192.0,888063494656.0
44,question_0_aime_Qwen3-0.6B_QP6_CP1_BS1,6,1,1,1,1,0.0,0.21069675202458849,132,132,196609942881280.0,947163740672.0
45,question_0_aime_Qwen3-0.6B_QP6_CP1_BS1,6,1,1,1,1,0.0,0.2024069129804873,139,139,253159131108864.0,1258504567808.0
46,question_0_aime_Qwen3-0.6B_QP5_CP1_BS1,5,1,1,1,1,0.0,0.07847425007185262,398,1172,250572513945600.0,1161797208576.0
47,question_0_aime_Qwen3-0.6B_QP5_CP1_BS1,5,1,1,1,1,0.0,0.21069675202458849,132,132,166523292733952.0,830861271552.0
48,question_0_aime_Qwen3-0.6B_QP5_CP1_BS1,5,1,1,1,1,0.0,0.13445967397498892,444,1226,320104235714048.0,1590003132928.0
49,question_0_aime_Qwen3-0.6B_QP4_CP1_BS1,4,1,1,1,1,0.0,0.21069675202458849,132,132,146274559340544.0,752934236672.0
