序号,question{idx}_model_sample_size,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,question_0_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9420306359212147,1404,5645,50385036934656.0,294960642560.0
2,question_0_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9203934096592006,1158,4634,50385036934656.0,294960642560.0
3,question_0_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9203934096592006,1158,4634,50385036934656.0,294960642560.0
4,question_0_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9312117487236744,966,3947,48733142071808.0,293867174400.0
5,question_0_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9203934096592006,1158,4634,48733142071808.0,293867174400.0
6,question_0_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9420306359212147,1404,5645,38573247961600.0,229317503488.0
7,question_0_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9433555760030868,1432,5748,22603365847040.0,132127363584.0
8,question_0_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9312117487236744,966,3947,22603365847040.0,132127363584.0
9,question_0_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9433555760030868,1432,5748,22603365847040.0,132127363584.0
10,question_1_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9476125754035855,414,1687,90157156311552.0,542588422656.0
11,question_1_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9531916494833697,416,1677,90157156311552.0,542588422656.0
12,question_1_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9476125754035855,414,1687,90157156311552.0,542588422656.0
13,question_1_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9531916494833697,416,1677,88055959784960.0,541454133760.0
14,question_1_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9476125754035855,414,1687,50476671681024.0,304704546304.0
15,question_1_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9762980247639181,416,1665,88125959969280.0,541543488000.0
16,question_1_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9476125754035855,414,1687,49496073602048.0,304226756096.0
17,question_1_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9762980247639181,416,1665,87075361705984.0,540976343552.0
18,question_1_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9531916494833697,416,1677,43154873417728.0,263937401856.0
19,question_10_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.42633244560387934,779,11041,119045201366016.0,725996211200.0
20,question_10_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.42633244560387934,779,11041,119045201366016.0,725996211200.0
21,question_10_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.42633244560387934,779,11041,119045201366016.0,725996211200.0
22,question_10_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.26765601677207385,661,5391,108447196633088.0,674019803136.0
23,question_10_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.42633244560387934,779,5860,86822993144832.0,536776123904.0
24,question_10_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.42633244560387934,779,5860,86822993144832.0,536776123904.0
25,question_10_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.26765601677207385,661,2658,107079172439040.0,672471142400.0
26,question_10_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.26765601677207385,661,2658,107079172439040.0,672471142400.0
27,question_10_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.26765601677207385,661,2658,107079172439040.0,672471142400.0
28,question_11_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7527401097816059,1833,33222,138348658478080.0,853760859136.0
29,question_11_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7527401097816059,1833,33222,138348658478080.0,853760859136.0
30,question_11_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7527401097816059,1833,33222,138348658478080.0,853760859136.0
31,question_11_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.7527401097816059,1833,16367,134860423543808.0,843281748480.0
32,question_11_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.7527401097816059,1833,16367,134860423543808.0,843281748480.0
33,question_11_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.7505152591409194,1484,15402,133753976466432.0,841660207616.0
34,question_11_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.2902224613101157,2283,9140,133363155524608.0,841565598208.0
35,question_11_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.26907576557152696,2929,10593,134633368055808.0,849635707904.0
36,question_11_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.2902224613101157,2283,9140,133363155524608.0,841565598208.0
37,question_12_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.9049217772441958,1285,33024,100652309164544.0,612101726208.0
38,question_12_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.9049217772441958,1285,33024,100652309164544.0,612101726208.0
39,question_12_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.9049217772441958,1285,33024,100652309164544.0,612101726208.0
40,question_12_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.9049217772441958,1285,9424,92880185034240.0,576883841024.0
41,question_12_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.9049217772441958,1285,9424,92880185034240.0,576883841024.0
42,question_12_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.9049217772441958,1285,20622,92880185034240.0,576883841024.0
43,question_12_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.6419718993287888,1985,7985,96611904702464.0,607673880576.0
44,question_12_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.9049217772441958,1285,5007,91533383546880.0,575407892480.0
45,question_12_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.6419718993287888,1985,7985,96611904702464.0,607673880576.0
46,question_13_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6892503921273649,2325,28894,172134366744064.0,1027560581120.0
47,question_13_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6892503921273649,2325,28894,172134366744064.0,1027560581120.0
48,question_13_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6892503921273649,2325,28894,172134366744064.0,1027560581120.0
49,question_13_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.6892503921273649,2325,16813,165516416821760.0,1021065127936.0
50,question_13_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5706017814765858,1551,12081,154076590298624.0,948385037824.0
51,question_13_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.4309337861604023,1883,13339,154076590298624.0,948385037824.0
52,question_13_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5706017814765858,1551,6220,150767615337472.0,945137311232.0
53,question_13_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.6892503921273649,2325,9335,162207441860608.0,1017817401344.0
54,question_13_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.4309337861604023,1883,7478,150767615337472.0,945137311232.0
55,question_14_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9510856739452119,1253,5049,137875615066624.0,840305108992.0
56,question_14_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9510856739452119,1253,11468,137875615066624.0,840305108992.0
57,question_14_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9510856739452119,1253,11468,137875615066624.0,840305108992.0
58,question_14_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9510856739452119,1253,5049,111602866571776.0,690638119936.0
59,question_14_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.7553077441476134,1170,12419,115414288410112.0,714853315072.0
60,question_14_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9510856739452119,1253,9745,111602866571776.0,690638119936.0
61,question_14_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.37743559169320223,1929,7723,113802737808384.0,712847819264.0
62,question_14_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.7553077441476134,1170,4696,104909752895488.0,656347761664.0
63,question_14_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.2553741252896785,1575,6419,132863055273984.0,833943701504.0
64,question_15_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8778880071204466,803,14016,61778031512576.0,374545190400.0
65,question_15_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8778880071204466,803,14016,61778031512576.0,374545190400.0
66,question_15_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8778880071204466,803,14016,61778031512576.0,374545190400.0
67,question_15_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.8778880071204466,803,5929,12406027761664.0,67715920384.0
68,question_15_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.8778880071204466,803,6968,12406027761664.0,67715920384.0
69,question_15_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.6380918166673701,932,8087,60663198272512.0,374243425792.0
70,question_15_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5577179161203323,1091,4350,60098365746688.0,374081027584.0
71,question_15_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.8778880071204466,803,3231,10586955235840.0,59513522176.0
72,question_15_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5577179161203323,1091,4350,60098365746688.0,374081027584.0
73,question_16_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7201416812788369,899,32469,98545382071296.0,583908596224.0
74,question_16_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7201416812788369,899,32469,98545382071296.0,583908596224.0
75,question_16_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7201416812788369,899,32469,98545382071296.0,583908596224.0
76,question_16_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.7201416812788369,899,13511,94740036032512.0,580477389312.0
77,question_16_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.39451885988642177,2009,25421,94724134796288.0,580447721984.0
78,question_16_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.6065299207067099,858,18958,94724134796288.0,580447721984.0
79,question_16_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.6065299207067099,858,3434,92829412395008.0,578746952192.0
80,question_16_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.39451885988642177,2009,9897,92829412395008.0,578746952192.0
81,question_16_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.030492606513666018,3885,15524,91559271158784.0,570677284864.0
82,question_17_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6851512603190719,1705,32474,56156933169152.0,335649008640.0
83,question_17_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6851512603190719,1705,32474,56156933169152.0,335649008640.0
84,question_17_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6851512603190719,1705,32474,56156933169152.0,335649008640.0
85,question_17_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.6851512603190719,1705,13259,54522281903104.0,334506302464.0
86,question_17_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.6851512603190719,1705,17718,43094219051008.0,261899203072.0
87,question_17_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.4309269893434735,2719,19215,42865325329408.0,261513912832.0
88,question_17_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.244672669919042,1609,6431,53590509409280.0,333742304256.0
89,question_17_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.41440855916032304,2082,8325,23119952835584.0,140149914624.0
90,question_17_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.244672669919042,1609,6431,53590509409280.0,333742304256.0
91,question_18_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9305276451155059,2211,8882,219291736226816.0,1370236038656.0
92,question_18_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.909282666266952,2499,9976,219291736226816.0,1370236038656.0
93,question_18_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.909282666266952,2499,9976,219291736226816.0,1370236038656.0
94,question_18_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.8964202481610776,2233,8929,153150902157312.0,958013587456.0
95,question_18_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9305276451155059,2211,8882,96595330492928.0,600242947584.0
96,question_18_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.909282666266952,2499,9976,153150902157312.0,958013587456.0
97,question_18_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.909282666266952,2499,9976,31153886146048.0,188464248832.0
98,question_18_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9170954444921644,2223,8919,95895940770304.0,599799195136.0
99,question_18_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.909282666266952,2499,9976,31153886146048.0,188464248832.0
100,question_19_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.4899020069447441,761,13451,139584694246912.0,854845680640.0
101,question_19_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.4899020069447441,761,3187,139584694246912.0,854845680640.0
102,question_19_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.4899020069447441,761,9327,139584694246912.0,854845680640.0
103,question_19_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.2468059917754541,982,7911,136823971382784.0,851746515968.0
104,question_19_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.4899020069447441,761,3187,98468285140480.0,609200250880.0
105,question_19_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.2468059917754541,982,7911,136823971382784.0,851746515968.0
106,question_19_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.18058241081871854,1039,4124,135255979624960.0,849860684800.0
107,question_19_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.18058241081871854,1039,4124,135255979624960.0,849860684800.0
108,question_19_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.18058241081871854,1039,4124,135255979624960.0,849860684800.0
109,question_2_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.9263234377107878,1028,14817,107651650211328.0,654431109632.0
110,question_2_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.9263234377107878,1028,14817,107651650211328.0,654431109632.0
111,question_2_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.9263234377107878,1028,14817,107651650211328.0,654431109632.0
112,question_2_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.9263234377107878,1028,7322,96735855493632.0,601774704128.0
113,question_2_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.9263234377107878,1028,7733,104506943534592.0,650503950848.0
114,question_2_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.9263234377107878,1028,8436,104506943534592.0,650503950848.0
115,question_2_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.8502160301536138,963,4099,102910667046912.0,648495428096.0
116,question_2_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.8407584934683825,631,2985,83851419005952.0,527406181376.0
117,question_2_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.9263234377107878,1028,4337,95286326175744.0,600055748096.0
118,question_20_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8103002764516366,1166,20097,97545622219776.0,595330337792.0
119,question_20_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8103002764516366,1166,20097,97545622219776.0,595330337792.0
120,question_20_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8103002764516366,1166,20097,97545622219776.0,595330337792.0
121,question_20_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.8103002764516366,1166,9848,95151404902400.0,592857283584.0
122,question_20_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.8103002764516366,1166,10463,76106415856640.0,471856510464.0
123,question_20_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.8103002764516366,1166,9162,77375915438080.0,479922196480.0
124,question_20_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.7781900707322063,1285,5160,93961926034432.0,591633599488.0
125,question_20_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.7053877042609645,1128,4474,76186436570112.0,478698512384.0
126,question_20_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.7781900707322063,1285,5160,93961926034432.0,591633599488.0
127,question_21_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7142744193458728,1828,19761,96906924933632.0,588384010752.0
128,question_21_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7142744193458728,1828,19761,96906924933632.0,588384010752.0
129,question_21_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.7142744193458728,1828,19761,96906924933632.0,588384010752.0
130,question_21_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.40399531054594645,733,9453,94092821741056.0,585176502784.0
131,question_21_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.40399531054594645,733,9453,94092821741056.0,585176502784.0
132,question_21_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.7142744193458728,1828,10308,94092821741056.0,585176502784.0
133,question_21_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.7142744193458728,1828,7597,92693578172928.0,583586697728.0
134,question_21_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.7142744193458728,1828,7597,92693578172928.0,583586697728.0
135,question_21_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.17677854508075141,1637,6548,92693578172928.0,583586697728.0
136,question_22_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6329376830825523,2128,29511,54268576776192.0,320313632768.0
137,question_22_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6329376830825523,2128,29511,54268576776192.0,320313632768.0
138,question_22_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.6329376830825523,2128,29511,54268576776192.0,320313632768.0
139,question_22_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.6329376830825523,2128,14807,45802410889216.0,278196749824.0
140,question_22_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5128037610742904,1779,14704,52156681819136.0,318567204864.0
141,question_22_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.6329376830825523,2128,14807,45802410889216.0,278196749824.0
142,question_22_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5128037610742904,1779,6870,51182914083328.0,317858916352.0
143,question_22_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5128037610742904,1779,6870,51182914083328.0,317858916352.0
144,question_22_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.6329376830825523,2128,8498,32121883667968.0,196758610432.0
145,question_23_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,1661,26123,65771164929536.0,377202912768.0
146,question_23_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,980,26123,65771164929536.0,377202912768.0
147,question_23_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,980,26123,65771164929536.0,377202912768.0
148,question_23_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,980,10585,63666312565248.0,375243058688.0
149,question_23_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,2599,15538,63494797360640.0,374937804288.0
150,question_23_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,1661,11822,63494797360640.0,374937804288.0
151,question_23_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5,1298,5160,47297866135552.0,277310932480.0
152,question_23_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5,980,3923,61266021340160.0,366056186880.0
153,question_23_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5,1298,5160,47297866135552.0,277310932480.0
154,question_24_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8153009649174265,893,27380,108552347592192.0,654690546688.0
155,question_24_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8153009649174265,893,27380,108552347592192.0,654690546688.0
156,question_24_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.8153009649174265,893,27380,108552347592192.0,654690546688.0
157,question_24_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.8153009649174265,893,7245,105491948112384.0,652282369024.0
158,question_24_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.7497369432870638,912,16210,99026080892416.0,611771453952.0
159,question_24_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.8153009649174265,893,16089,105372628199936.0,652093985792.0
160,question_24_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5901092326881534,3131,12527,87342641240064.0,546058981888.0
161,question_24_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.8153009649174265,893,3562,103842428460032.0,650889896960.0
162,question_24_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.7497369432870638,912,3683,97495881152512.0,610567365120.0
163,question_25_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,2031,23482,131893643646464.0,788732995072.0
164,question_25_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,1038,23482,131893643646464.0,788732995072.0
165,question_25_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,1038,23482,131893643646464.0,788732995072.0
166,question_25_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,2031,12073,127113024832512.0,784960759296.0
167,question_25_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,1038,12449,120718327798272.0,744565711872.0
168,question_25_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,2031,15246,125843810430976.0,776896842752.0
169,question_25_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5,973,3930,124728114065408.0,783083267584.0
170,question_25_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5,1770,7103,123458899663872.0,775019351040.0
171,question_25_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.5,973,3930,124728114065408.0,783083267584.0
172,question_26_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.6084651828065316,2824,22352,206785770109952.0,1267914596352.0
173,question_26_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.6084651828065316,2824,11322,206785770109952.0,1267914596352.0
174,question_26_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.6084651828065316,2824,37371,206785770109952.0,1267914596352.0
175,question_26_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.39528415310898624,2769,26049,201131367798784.0,1258480721920.0
176,question_26_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.3078535734829253,3773,30089,179501798335488.0,1121065756160.0
177,question_26_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.6084651828065316,2824,26392,199983467112448.0,1250686555648.0
178,question_26_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.39528415310898624,2769,11030,198573389556224.0,1254399307776.0
179,question_26_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.1194761960375954,3759,15019,168039523043840.0,1060414095360.0
180,question_26_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.39528415310898624,2769,11030,198573389556224.0,1254399307776.0
181,question_27_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,1263,21264,98108016211456.0,594365504512.0
182,question_27_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,1121,21264,98108016211456.0,594365504512.0
183,question_27_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.5,1621,21264,98108016211456.0,594365504512.0
184,question_27_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,1272,9699,95650916821504.0,591882750976.0
185,question_27_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,1621,11641,96141866254848.0,592583109632.0
186,question_27_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.5,1121,9623,91843344911872.0,567691443712.0
