序号,question{idx}_model_sample_size,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
1,question_0_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9420306359212147,1404,5645,9597653598497280.0,35408911937024.0
2,question_0_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9203934096592006,1158,4634,9597653598497280.0,35408911937024.0
3,question_0_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9203934096592006,1158,4634,9597653598497280.0,35408911937024.0
4,question_0_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9312117487236744,966,3947,4924588824030720.0,21437269306368.0
5,question_0_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9203934096592006,1158,4634,4924588824030720.0,21437269306368.0
6,question_0_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9420306359212147,1404,5645,4622513703973888.0,19953266887680.0
7,question_0_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9433555760030868,1432,5748,4935611238318080.0,21792023840256.0
8,question_0_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9312117487236744,966,3947,2477831134726656.0,12351144061952.0
9,question_0_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9433555760030868,1432,5748,4935611238318080.0,21792023840256.0
10,question_1_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9476125754035855,414,1687,3614446281862144.0,15280582974976.0
11,question_1_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9531916494833697,416,1677,3614446281862144.0,15280582974976.0
12,question_1_aime_Qwen3-4B_S4,4,16,4,1,1,1.0,0.9476125754035855,414,1687,3614446281862144.0,15280582974976.0
13,question_1_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9531916494833697,416,1677,1684098661198848.0,7705910326272.0
14,question_1_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9476125754035855,414,1687,1891545438108672.0,9081243494400.0
15,question_1_aime_Qwen3-4B_S2,4,16,4,1,1,1.0,0.9762980247639181,416,1665,2696819439092224.0,12435519092224.0
16,question_1_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9476125754035855,414,1687,1084005276214784.0,5576930344448.0
17,question_1_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9762980247639181,416,1665,1087458019304960.0,5553517176320.0
18,question_1_aime_Qwen3-4B_S1,4,16,4,1,1,1.0,0.9531916494833697,416,1677,1312959557232640.0,6737292761600.0
19,question_10_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.42633244560387934,779,11041,5308953763999744.0,21500571430912.0
20,question_10_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.42633244560387934,779,11041,5308953763999744.0,21500571430912.0
21,question_10_aime_Qwen3-4B_S4,4,16,4,1,1,0.0,0.42633244560387934,779,11041,5308953763999744.0,21500571430912.0
22,question_10_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.26765601677207385,661,5391,3322028077056000.0,14999890329600.0
23,question_10_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.42633244560387934,779,5860,3472594072509440.0,15600905705472.0
24,question_10_aime_Qwen3-4B_S2,4,16,4,1,1,0.0,0.42633244560387934,779,5860,3472594072509440.0,15600905705472.0
25,question_10_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.26765601677207385,661,2658,2237363936775680.0,11347652743680.0
26,question_10_aime_Qwen3-4B_S1,4,16,4,1,1,0.0,0.26765601677207385,661,2658,2237363936775680.0,11347652743680.0
