Dataset,Question_ID,Model,QP,CP,BS,Correctness,Verifier_Score,Memory_Access,Computation,EFLOPs,Total_Tokens,Effective_Length,Normalized_EFLOPS
AIME,0,Qwen3-4B,4,16,4,1.0,0.9420306359212148,294960642560.0,4371176695296.0,50385036934656.0,5645.0,1404.0,0.296353216229881
AIME,0,Qwen3-4B,4,16,4,1.0,0.9203934096592006,294960642560.0,4371176695296.0,50385036934656.0,4634.0,1158.0,0.296353216229881
AIME,0,Qwen3-4B,4,16,4,1.0,0.9203934096592006,294960642560.0,4371176695296.0,50385036934656.0,4634.0,1158.0,0.296353216229881
AIME,0,Qwen3-4B,2,16,4,1.0,0.9312117487236744,293867174400.0,2889862865408.0,48733142071808.0,3947.0,966.0,0.2933193323274415
AIME,0,Qwen3-4B,2,16,4,1.0,0.9203934096592006,293867174400.0,2889862865408.0,48733142071808.0,4634.0,1158.0,0.2933193323274415
AIME,0,Qwen3-4B,2,16,4,1.0,0.9420306359212148,229317503488.0,2799717417472.0,38573247961600.0,5645.0,1404.0,0.2720406452439569
AIME,0,Qwen3-4B,1,16,4,1.0,0.9433555760030868,132127363584.0,1991497127936.0,22603365847040.0,5748.0,1432.0,0.2233982456660098
AIME,0,Qwen3-4B,1,16,4,1.0,0.9312117487236744,132127363584.0,1991497127936.0,22603365847040.0,3947.0,966.0,0.2233982456660098
AIME,0,Qwen3-4B,1,16,4,1.0,0.9433555760030868,132127363584.0,1991497127936.0,22603365847040.0,5748.0,1432.0,0.2233982456660098
AIME,1,Qwen3-4B,4,16,4,1.0,0.9476125754035856,542588422656.0,5513362377216.0,90157156311552.0,1687.0,414.0,0.3493095883973186
AIME,1,Qwen3-4B,4,16,4,1.0,0.9531916494833697,542588422656.0,5513362377216.0,90157156311552.0,1677.0,416.0,0.3493095883973186
AIME,1,Qwen3-4B,4,16,4,1.0,0.9476125754035856,542588422656.0,5513362377216.0,90157156311552.0,1687.0,414.0,0.3493095883973186
AIME,1,Qwen3-4B,2,16,4,1.0,0.9531916494833697,541454133760.0,3589114918400.0,88055959784960.0,1677.0,416.0,0.3471633557760802
AIME,1,Qwen3-4B,2,16,4,1.0,0.9476125754035856,304704546304.0,2942762457600.0,50476671681024.0,1687.0,414.0,0.2965185888611967
AIME,1,Qwen3-4B,2,16,4,1.0,0.976298024763918,541543488000.0,3645175841280.0,88125959969280.0,1665.0,416.0,0.3472356772926245
AIME,1,Qwen3-4B,1,16,4,1.0,0.9476125754035856,304226756096.0,2036699651072.0,49496073602048.0,1687.0,414.0,0.2947331170239131
AIME,1,Qwen3-4B,1,16,4,1.0,0.976298024763918,540976343552.0,2683052111872.0,87075361705984.0,1665.0,416.0,0.3461441510989253
AIME,1,Qwen3-4B,1,16,4,1.0,0.9531916494833697,263937401856.0,1980638728192.0,43154873417728.0,1677.0,416.0,0.2822555257103698
AIME,10,Qwen3-4B,4,16,4,0.0,0.4263324456038793,725996211200.0,5789792418816.0,119045201366016.0,11041.0,779.0,0.3746063353026742
AIME,10,Qwen3-4B,4,16,4,0.0,0.4263324456038793,725996211200.0,5789792418816.0,119045201366016.0,11041.0,779.0,0.3746063353026742
AIME,10,Qwen3-4B,4,16,4,0.0,0.4263324456038793,725996211200.0,5789792418816.0,119045201366016.0,11041.0,779.0,0.3746063353026742
