序号,question{idx}_model_sample_size,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,question_0_aime_Qwen3-32B_S64,64,1,1,3,1,1.0,0.532286611629314,1035.0,1702.3333333333333,2.866376879516877e+16,164391504998400.0
2,question_0_aime_Qwen3-32B_S32,64,1,1,3,1,1.0,0.6420753898605299,950.0,1211.0,2.448850133866462e+16,145268597034325.34
3,question_0_aime_Qwen3-32B_S16,64,1,1,3,1,1.0,0.889101463083852,1295.0,1295.0,2.1729298682712064e+16,132696757322240.0
4,question_0_aime_Qwen3-32B_S8,64,1,1,3,1,0.6666666666666666,0.6374826664782047,942.6666666666666,942.6666666666666,1.821464771760333e+16,113140689307648.0
5,question_0_aime_Qwen3-32B_S4,64,1,1,3,1,1.0,0.6902621484670658,907.0,907.0,1.52399698417024e+16,95429168555349.33
6,question_0_aime_Qwen3-32B_S2,64,1,1,3,1,1.0,0.8789192721706165,1189.0,1189.0,1.7121028968306858e+16,107969190889813.33
7,question_0_aime_Qwen3-32B_S1,64,1,1,3,1,1.0,0.703833607711092,984.6666666666666,984.6666666666666,1.035254464189423e+16,65490844470101.336
8,question_0_aime_Qwen3-32B_S32,32,2,1,3,1,1.0,0.653019708405353,1094.6666666666667,1094.6666666666667,1686728909130752.0,9457564933632.0
9,question_0_aime_Qwen3-32B_S16,32,2,1,3,1,1.0,0.5551128264180817,988.6666666666666,988.6666666666666,1574140804852906.8,9331363147605.334
10,question_0_aime_Qwen3-32B_S8,32,2,1,3,1,1.0,0.7284689865853465,1032.3333333333333,1032.3333333333333,1449463762593450.8,8804729866069.334
11,question_0_aime_Qwen3-32B_S4,32,2,1,3,1,1.0,0.900870598958671,1122.6666666666667,1122.6666666666667,1390881026999978.8,8598844942165.333
12,question_0_aime_Qwen3-32B_S2,32,2,1,3,1,0.6666666666666666,0.6065917123220516,1172.6666666666667,1503.3333333333333,846006269556394.6,5232439546709.333
