序号,question{idx}_model_sample_size,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,question_0_aime_Qwen3-32B_S64,64,1,1,3,1,1.0,0.532286611629314,1035.0,1035.0,2.866376879516877e+16,164391504998400.0
2,question_0_aime_Qwen3-32B_S32,32,1,1,3,1,1.0,0.710694037356583,1165.0,2389.3333333333335,2.6293141115345748e+16,157746988041216.0
3,question_0_aime_Qwen3-32B_S16,16,1,1,3,1,0.6666666666666666,0.6747230920070953,1105.6666666666667,1105.6666666666667,2.054464859154637e+16,126024529971712.0
4,question_0_aime_Qwen3-32B_S8,8,1,1,3,1,0.6666666666666666,0.6043001187141462,958.0,958.0,2.0767401924876116e+16,128344492475562.67
5,question_0_aime_Qwen3-32B_S4,4,1,1,3,1,0.3333333333333333,0.6276830878426026,960.3333333333334,1263.3333333333333,1.6047885546911402e+16,101020021831509.33
6,question_0_aime_Qwen3-32B_S2,2,1,1,3,1,1.0,0.7051920813782765,1055.0,1055.0,1.6772716713411584e+16,105740301810517.33
7,question_0_aime_Qwen3-32B_S1,1,1,1,3,1,0.6666666666666666,0.6907697444687336,980.0,980.0,1.0657483288172202e+16,67509947960661.336
8,question_0_aime_Qwen3-14B_S64,64,1,1,3,1,0.0,0.7379295824809441,1118.0,2308.0,1.9432288311163136e+16,113484429933056.0
9,question_0_aime_Qwen3-14B_S32,32,1,1,3,1,0.0,0.6395679418730379,876.0,1234.6666666666667,1.5905098008656384e+16,96008463586730.67
10,question_0_aime_Qwen3-14B_S16,16,1,1,3,1,0.0,0.6436408257589857,869.6666666666666,869.6666666666666,1.222970804304768e+16,75599188646997.33
11,question_0_aime_Qwen3-14B_S8,8,1,1,3,1,0.0,0.25417243466521805,123.0,123.0,9866185344415574.0,62024174521002.664
12,question_0_aime_Qwen3-14B_S4,4,1,1,3,1,0.0,0.3403237993688051,441.6666666666667,441.6666666666667,8585125838881877.0,54131105246890.664
13,question_0_aime_Qwen3-14B_S2,2,1,1,3,1,0.3333333333333333,0.22286811666817885,367.0,367.0,5947526373680981.0,37610708125184.0
