序号,question_model_qp_cp_bs,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,question_0_aime_Qwen3-32B_QP20_CP1_BS1,20,1,1,3,1,0.3333333333333333,0.7950214547548669,1004.3333333333334,1561.3333333333333,2.090372952867021e+16,126415037096106.67
2,question_0_aime_Qwen3-32B_QP19_CP1_BS1,19,1,1,3,1,1.0,0.643403946734992,1043.0,1297.0,1.9676057240693932e+16,118668086406826.67
3,question_0_aime_Qwen3-32B_QP18_CP1_BS1,18,1,1,3,1,0.6666666666666666,0.6949731784641937,1082.3333333333333,1389.3333333333333,2.146750666157824e+16,131148314945194.67
4,question_0_aime_Qwen3-32B_QP17_CP1_BS1,17,1,1,3,1,0.3333333333333333,0.48867876560294005,969.0,1587.3333333333333,2.1522535498255532e+16,132380726543018.67
5,question_0_aime_Qwen3-32B_QP16_CP1_BS1,16,1,1,3,1,0.6666666666666666,0.6747230920070953,1105.6666666666667,1105.6666666666667,2.054464859154637e+16,126024529971712.0
6,question_0_aime_Qwen3-32B_QP15_CP1_BS1,15,1,1,3,1,0.6666666666666666,0.7468843811637838,1044.3333333333333,1298.3333333333333,2.059314540970752e+16,125727802166101.33
7,question_0_aime_Qwen3-32B_QP14_CP1_BS1,14,1,1,3,1,0.3333333333333333,0.5622810089926589,972.0,972.0,1.9489742284136276e+16,119461352403114.67
8,question_0_aime_Qwen3-32B_QP13_CP1_BS1,13,1,1,3,1,1.0,0.6398395900143151,994.3333333333334,1297.3333333333333,1.9097147109574316e+16,117443928652458.67
9,question_0_aime_Qwen3-32B_QP12_CP1_BS1,12,1,1,3,1,0.3333333333333333,0.5165657527369246,952.3333333333334,1206.3333333333333,1.7874279012491094e+16,110383161872896.0
10,question_0_aime_Qwen3-32B_QP11_CP1_BS1,11,1,1,3,1,0.6666666666666666,0.6985678674508454,943.0,1244.6666666666667,1.811145231600947e+16,111499856344746.67
11,question_0_aime_Qwen3-32B_QP10_CP1_BS1,10,1,1,3,1,0.3333333333333333,0.5557632285851456,999.6666666666666,1364.0,2.13118896420765e+16,131874912784042.67
12,question_0_aime_Qwen3-32B_QP9_CP1_BS1,9,1,1,3,1,0.6666666666666666,0.6877906461162642,969.6666666666666,969.6666666666666,1.883302676413218e+16,116517002249045.33
13,question_0_aime_Qwen3-32B_QP8_CP1_BS1,8,1,1,3,1,0.6666666666666666,0.6043001187141462,958.0,958.0,2.0767401924876116e+16,128344492475562.67
14,question_0_aime_Qwen3-32B_QP7_CP1_BS1,7,1,1,3,1,0.3333333333333333,0.5635575185411047,928.0,928.0,1.6778945191148374e+16,104780601156096.0
15,question_0_aime_Qwen3-32B_QP6_CP1_BS1,6,1,1,3,1,0.6666666666666666,0.661751117010382,968.6666666666666,968.6666666666666,1.8035580132589056e+16,112196493375146.67
16,question_0_aime_Qwen3-32B_QP5_CP1_BS1,5,1,1,3,1,0.3333333333333333,0.6998443769992911,899.0,899.0,1.5576953527881898e+16,97588003539456.0
17,question_0_aime_Qwen3-32B_QP4_CP1_BS1,4,1,1,3,1,0.3333333333333333,0.6276830878426026,960.3333333333334,1263.3333333333333,1.6047885546911402e+16,101020021831509.33
18,question_0_aime_Qwen3-32B_QP3_CP1_BS1,3,1,1,3,1,0.6666666666666666,0.6126456149904675,1053.6666666666667,1053.6666666666667,1.4492072683610794e+16,91107180915882.67
19,question_0_aime_Qwen3-32B_QP2_CP1_BS1,2,1,1,3,1,1.0,0.7051920813782765,1055.0,1055.0,1.6772716713411584e+16,105740301810517.33
20,question_0_aime_Qwen3-32B_QP1_CP1_BS1,1,1,1,3,1,0.6666666666666666,0.6907697444687336,980.0,980.0,1.0657483288172202e+16,67509947960661.336
21,question_0_aime_Qwen3-14B_QP20_CP1_BS1,20,1,1,3,1,0.0,0.41108984472662713,280.0,421.6666666666667,1.3782078630360064e+16,85121316333738.67
22,question_0_aime_Qwen3-14B_QP19_CP1_BS1,19,1,1,3,1,0.0,0.36286739370991045,465.3333333333333,484.0,1.2697578014951168e+16,78070014627584.0
23,question_0_aime_Qwen3-14B_QP18_CP1_BS1,18,1,1,3,1,0.0,0.5349458667142934,527.3333333333334,862.0,1.4540950691103318e+16,89826497059925.33
24,question_0_aime_Qwen3-14B_QP17_CP1_BS1,17,1,1,3,1,0.0,0.5205396643915593,433.3333333333333,452.0,1.2908728045499818e+16,79881315575893.33
25,question_0_aime_Qwen3-14B_QP16_CP1_BS1,16,1,1,3,1,0.0,0.6436408257589857,869.6666666666666,869.6666666666666,1.222970804304768e+16,75599188646997.33
26,question_0_aime_Qwen3-14B_QP15_CP1_BS1,15,1,1,3,1,0.0,0.2685786369879522,217.0,247.33333333333334,1.242611341286639e+16,77039719346346.67
27,question_0_aime_Qwen3-14B_QP14_CP1_BS1,14,1,1,3,1,0.0,0.47975825992617277,558.0,699.6666666666666,1.3184404273239552e+16,82103037866069.33
28,question_0_aime_Qwen3-14B_QP13_CP1_BS1,13,1,1,3,1,0.0,0.29930265765743164,255.0,292.3333333333333,1.2035276448248746e+16,74987546581674.67
29,question_0_aime_Qwen3-14B_QP12_CP1_BS1,12,1,1,3,1,0.0,0.29522977377148374,261.3333333333333,280.0,1.0562502477315158e+16,65535185552213.336
30,question_0_aime_Qwen3-14B_QP11_CP1_BS1,11,1,1,3,1,0.0,0.3844387079430956,235.66666666666666,366.3333333333333,1.2770211732270166e+16,79646133982976.0
31,question_0_aime_Qwen3-14B_QP10_CP1_BS1,10,1,1,3,1,0.0,0.3844387079430956,235.66666666666666,235.66666666666666,1.1949988786834602e+16,74845155968426.67
32,question_0_aime_Qwen3-14B_QP9_CP1_BS1,9,1,1,3,1,0.0,0.11689086621626242,92.66666666666667,92.66666666666667,9214282914257238.0,57369236571904.0
33,question_0_aime_Qwen3-14B_QP8_CP1_BS1,8,1,1,3,1,0.0,0.25417243466521805,123.0,123.0,9866185344415574.0,62024174521002.664
34,question_0_aime_Qwen3-14B_QP7_CP1_BS1,7,1,1,3,1,0.0,0.420266407759642,341.3333333333333,371.6666666666667,1.224221771129344e+16,77149069840810.67
35,question_0_aime_Qwen3-14B_QP6_CP1_BS1,6,1,1,3,1,0.0,0.28896933922064544,154.66666666666666,154.66666666666666,1.1763913241317034e+16,74031839003306.67
