序号,question{idx}_model_sample_size,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
1,question_0_aime_Qwen3-32B_S64,64,1,1,3,1,1.0,0.6247516673882213,1040.0,1719.0,9.248612883910144e+16,524297788081152.0
2,question_0_aime_Qwen3-32B_S32,64,1,1,3,1,1.0,0.7989527945886756,1162.6666666666667,1162.6666666666667,6.935572613636557e+16,410235008447146.7
3,question_0_aime_Qwen3-32B_S16,64,1,1,3,1,1.0,0.7195414419733139,1207.6666666666667,2467.3333333333335,5.563386779404681e+16,338439248814080.0
4,question_0_aime_Qwen3-32B_S8,64,1,1,3,1,1.0,0.7897079251177027,1048.0,1048.0,3.44375062035968e+16,213148689139541.34
5,question_0_aime_Qwen3-32B_S4,64,1,1,3,1,1.0,0.6170671388652955,963.6666666666666,963.6666666666666,2.5150198932293972e+16,156938042521600.0
6,question_0_aime_Qwen3-32B_S2,64,1,1,3,1,1.0,0.853478905591834,1282.0,1282.0,2.1565469373733716e+16,135481937203882.67
7,question_0_aime_Qwen3-32B_S1,64,1,1,3,1,1.0,0.703833607711092,984.6666666666666,984.6666666666666,1.0379693803282944e+16,65545041551530.664
8,question_0_aime_Qwen3-32B_S32,32,2,1,3,1,1.0,0.653019708405353,1094.6666666666667,1094.6666666666667,7.691561477855437e+16,433901771599872.0
9,question_0_aime_Qwen3-32B_S16,32,2,1,3,1,1.0,0.5551128264180817,988.6666666666666,988.6666666666666,5.251083673788553e+16,307459335506432.0
10,question_0_aime_Qwen3-32B_S8,32,2,1,3,1,1.0,0.7284689865853465,1032.3333333333333,1032.3333333333333,4.366484539883418e+16,264434294511445.34
11,question_0_aime_Qwen3-32B_S4,32,2,1,3,1,1.0,0.900870598958671,1122.6666666666667,1122.6666666666667,2.9566747442058068e+16,181985187071829.34
12,question_0_aime_Qwen3-32B_S2,32,2,1,3,1,0.6666666666666666,0.6065917123220516,1172.6666666666667,1503.3333333333333,2.060513731088128e+16,128554838155605.33
13,question_0_aime_Qwen3-32B_S1,32,2,1,3,1,1.0,0.816152478302049,1125.0,1125.0,1.3757347283275434e+16,86342410705066.67
14,question_0_aime_Qwen3-32B_S16,16,4,2,3,1,1.0,0.824701033789388,1089.6666666666667,2192.0,5.004088939113165e+16,269624282311168.0
15,question_0_aime_Qwen3-32B_S8,16,4,2,3,1,1.0,0.894241459000917,977.6666666666666,1954.0,3.908267215487539e+16,225068541424128.0
