序号,question{idx}_model_sample_size,qp,cp,bs,n_trials,n_question,准确率,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,question_0_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.21069675202458849,132,132,522389769611264.0,1450614017536.0
2,question_0_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.21069675202458849,132,132,522389769611264.0,1450614017536.0
3,question_0_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.21069675202458849,132,132,522389769611264.0,1450614017536.0
4,question_0_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.21069675202458849,132,271,529558574997504.0,1738035257856.0
5,question_0_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.0,0,0,306254933515264.0,1040806235648.0
6,question_0_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.21069675202458849,132,271,510322797111296.0,1632620859904.0
7,question_0_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.2024069129804873,139,1797,371139483900416.0,1376820237312.0
8,question_0_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.06600534611036042,394,1930,601497242768384.0,2234156542464.0
9,question_0_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.07847425007185262,398,2054,605295021237760.0,2299509537280.0
10,question_0_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.13445967397498892,444,1086,451769899403264.0,2110071876096.0
11,question_0_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.34226109194120535,541,1706,433805690614784.0,1729596069888.0
12,question_0_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.07029594964456368,452,1435,368300491017728.0,1573639127552.0
13,question_0_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.21069675202458849,132,132,146274559340544.0,752934236672.0
14,question_0_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.06600534611036042,394,1454,261608223782912.0,1332840550912.0
15,question_0_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.052269653349520294,697,1986,350137262851072.0,1720037206016.0
16,question_0_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.25180959880093207,667,1276,281303674385408.0,1517935171584.0
17,question_0_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.06611217926130407,717,717,274677526900224.0,1356435159040.0
18,question_0_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.052269653349520294,697,1155,243153357784064.0,1324033453056.0
19,question_0_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.040240373461152466,851,851,332259700979200.0,1498071489536.0
20,question_0_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.04509223887801584,619,619,187064794020864.0,1063407080960.0
21,question_0_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.027276565253031206,760,760,240852949521920.0,1265967234048.0
22,question_1_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.4261945026376219,541,541,629651602194432.0,2681359773184.0
23,question_1_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.4261945026376219,541,541,629651602194432.0,2681359773184.0
24,question_1_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.4261945026376219,541,541,629651602194432.0,2681359773184.0
25,question_1_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.0,0,0,464415281187328.0,2302633348608.0
26,question_1_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.0,0,0,297288487041024.0,1260366448128.0
27,question_1_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.4261945026376219,541,784,450885073153536.0,1964846325760.0
28,question_1_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.0,0,0,148594076846592.0,640427462144.0
29,question_1_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.21955027247632933,247,247,240985767604224.0,890662996992.0
30,question_1_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.24496784902420152,501,501,347071572444672.0,1552753757184.0
31,question_1_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.0,0,0,112499163349504.0,568736476672.0
32,question_1_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.4261945026376219,541,788,219286174590976.0,1189668229120.0
33,question_1_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.0,0,0,315205016483840.0,1854723429888.0
34,question_1_aime_Qwen3-0.6B_S4,4,1,1,1,1,1.0,0.8432906714130906,417,417,286936583115264.0,1510829475328.0
35,question_1_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.21955027247632933,247,247,144432209202176.0,760288723968.0
36,question_1_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.4261945026376219,541,541,253470885391872.0,1491122513920.0
37,question_1_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.10826548832102648,627,627,239140916206080.0,1322221513728.0
38,question_1_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.12941226707724862,598,598,234666563937792.0,1326495948800.0
39,question_1_aime_Qwen3-0.6B_S2,2,1,1,1,1,1.0,0.7874334829239774,387,387,143084508688896.0,768699684864.0
40,question_1_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.090082518572838,378,378,111387162039296.0,625571629056.0
41,question_1_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.09562335780678818,828,828,232274670462976.0,1338478708224.0
42,question_1_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.10826548832102648,627,627,173582952506368.0,1021259977728.0
43,question_10_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.028696463493058263,76,1960,566326630509568.0,1629775106048.0
44,question_10_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.028696463493058263,76,1960,566326630509568.0,1629775106048.0
45,question_10_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.028696463493058263,76,1960,566326630509568.0,1629775106048.0
46,question_10_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.028696463493058263,76,697,311660653512704.0,1013931528192.0
47,question_10_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.028696463493058263,76,812,324908430151168.0,1081065543680.0
48,question_10_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.028696463493058263,76,529,317377761317376.0,991867648000.0
49,question_10_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.02856716105793048,80,537,209020431575040.0,876768139264.0
50,question_10_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.019489857327548897,264,729,240008543588864.0,1019613579264.0
51,question_10_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.028696463493058263,76,800,209518711096320.0,833832003584.0
52,question_10_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.028201881302363216,330,2036,260788157401600.0,1131299264512.0
53,question_10_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.014353973918802434,154,264,140599271522816.0,658819340288.0
54,question_10_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.019489857327548897,264,807,200411276492288.0,968179067392.0
55,question_10_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.09297883619152952,247,736,150251888754176.0,724048216064.0
56,question_10_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.03670113777305498,273,537,158028712204288.0,820596954112.0
57,question_10_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.019440915943234306,275,885,211170098896384.0,1011528414720.0
58,question_10_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.05392264839053498,368,638,127450327689728.0,646312139264.0
59,question_10_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.014417425384550217,115,115,81939274995712.0,424293601280.0
60,question_10_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.01645809164946546,222,453,101290407996928.0,522754600960.0
61,question_10_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.059928228477462736,856,856,280239387023872.0,1430922695168.0
62,question_10_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.019489857327548897,264,264,72791826753024.0,427370444800.0
63,question_10_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.03670113777305498,273,273,76839763486208.0,444432810496.0
64,question_11_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.1272428361896822,84,1100,362389981498880.0,1024240942592.0
65,question_11_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.1272428361896822,84,1100,362389981498880.0,1024240942592.0
66,question_11_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.1272428361896822,84,1100,362389981498880.0,1024240942592.0
67,question_11_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.05541002402972663,195,505,226726266491392.0,786097839616.0
68,question_11_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.0487260130642469,93,607,220617171467264.0,787354068480.0
69,question_11_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.06963753026146803,214,410,224184267175936.0,783622381056.0
70,question_11_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.0,0,0,146526261411328.0,622677923328.0
71,question_11_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.0487260130642469,93,93,155005956157440.0,668525698560.0
72,question_11_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.0487260130642469,93,132,121890474521600.0,483193447936.0
73,question_11_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.05656009266980736,279,911,191842058902016.0,938629001728.0
74,question_11_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.025520320817633012,196,196,112851497284608.0,559790185984.0
75,question_11_aime_Qwen3-0.6B_S8,8,1,1,1,1,0.0,0.20637936642704657,283,1032,184465922883072.0,840588342272.0
76,question_11_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.0,0,0,76305777440768.0,418170772992.0
77,question_11_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.05541002402972663,195,430,97851223160832.0,535626641408.0
78,question_11_aime_Qwen3-0.6B_S4,4,1,1,1,1,0.0,0.1272428361896822,84,177,103824763795456.0,576419729408.0
79,question_11_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.03398228774318982,415,697,146126184943616.0,813857902592.0
80,question_11_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.04188633455508435,129,509,113331713563648.0,619538275840.0
81,question_11_aime_Qwen3-0.6B_S2,2,1,1,1,1,0.0,0.0,0,0,44792433062912.0,256745414144.0
82,question_11_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.04188633455508435,129,129,42279539625472.0,226041865728.0
83,question_11_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.040495636140401296,133,133,39475136370688.0,223264833536.0
84,question_11_aime_Qwen3-0.6B_S1,1,1,1,1,1,0.0,0.07407369397454397,569,569,171937869654528.0,942812789248.0
85,question_12_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.12104702516352664,508,1913,795010548406784.0,2954713296896.0
86,question_12_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.12104702516352664,508,1913,795010548406784.0,2954713296896.0
87,question_12_aime_Qwen3-0.6B_S64,64,1,1,1,1,0.0,0.12104702516352664,508,1913,795010548406784.0,2954713296896.0
88,question_12_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.12104702516352664,508,705,500407196426752.0,2126172311552.0
89,question_12_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.5202520308733138,350,3693,618684221066752.0,2374430108672.0
90,question_12_aime_Qwen3-0.6B_S32,32,1,1,1,1,0.0,0.5202520308733138,350,2374,707045530174976.0,3119335981568.0
91,question_12_aime_Qwen3-0.6B_S16,16,1,1,1,1,0.0,0.14678962435140774,365,1421,488416898448896.0,2434656694784.0
